,sectionName_x,sentiment_absolute,count
150,Soccer,-1,0.1855873642645607
151,Soccer,0,0.16288252714708787
152,Soccer,1,0.6515301085883515
153,Student Loans,-1,0.3002610966057441
154,Student Loans,0,0.1174934725848564
155,Student Loans,1,0.5822454308093995
156,Sunday Review,-1,0.38172437202987103
157,Sunday Review,0,0.12270196877121521
158,Sunday Review,1,0.4955736591989138
159,Television,-1,0.31724627395315824
160,Television,0,0.18801212981482676
161,Television,1,0.49474159623201497
162,Tennis,-1,0.24270353302611367
163,Tennis,0,0.1597542242703533
164,Tennis,1,0.5975422427035331
165,The Daily,-1,0.4012345679012346
166,The Daily,0,0.13580246913580246
167,The Daily,1,0.46296296296296297
168,Unknown,-1,0.3780002037133365
169,Unknown,0,0.14231631393935718
170,Unknown,1,0.47968348234730634
