,sectionName_x,Summary_TARGET_multiclass,count
204,Unknown,1,0.3865763796718971
205,Unknown,2,0.1265417484046991
206,Unknown,3,0.012965343074251956
207,Weddings,0,0.21052631578947367
208,Weddings,1,0.5789473684210527
209,Weddings,2,0.19548872180451127
210,Weddings,3,0.015037593984962405
211,"Wine, Beer & Cocktails",0,0.580908032596042
212,"Wine, Beer & Cocktails",1,0.3119906868451688
213,"Wine, Beer & Cocktails",2,0.10593713620488941
214,"Wine, Beer & Cocktails",3,0.0011641443538998836
